GSE,GSM,age,sex
GSE56033,GSM1351120,22,M
GSE56033,GSM1351121,19,F
GSE56033,GSM1351122,28,M
GSE56033,GSM1351123,28,F
GSE56033,GSM1351124,22,F
GSE56033,GSM1351125,22,F
GSE56033,GSM1351126,30,F
GSE56033,GSM1351127,30,F
GSE56033,GSM1351128,27,M
GSE56033,GSM1351129,50,F
GSE56033,GSM1351130,19,F
GSE56033,GSM1351131,28,F
GSE56033,GSM1351132,28,F
GSE56033,GSM1351133,32,F
GSE56033,GSM1351134,25,F
GSE56033,GSM1351135,25,F
GSE56033,GSM1351136,19,M
GSE56033,GSM1351137,24,M
GSE56033,GSM1351138,24,F
GSE56033,GSM1351139,31,F
GSE56033,GSM1351140,31,F
GSE56033,GSM1351141,56,F
GSE56033,GSM1351142,50,M
GSE56033,GSM1351143,35,F
GSE56033,GSM1351144,20,M
GSE56033,GSM1351145,22,F
GSE56033,GSM1351146,22,M
GSE56033,GSM1351147,24,F
GSE56033,GSM1351148,48,F
GSE56033,GSM1351149,9,M
GSE56033,GSM1351150,30,F
GSE56033,GSM1351151,21,F
GSE56033,GSM1351152,24,M
GSE56033,GSM1351153,20,F
GSE56033,GSM1351154,21,F
GSE56033,GSM1351155,26,F
GSE56033,GSM1351156,26,F
GSE56033,GSM1351157,45,F
GSE56033,GSM1351158,28,F
GSE56033,GSM1351159,39,M
GSE56033,GSM1351160,21,F
GSE56033,GSM1351161,22,F
GSE56033,GSM1351162,21,M
GSE56033,GSM1351163,24,F
GSE56033,GSM1351164,26,M
GSE56033,GSM1351165,27,M
GSE56033,GSM1351166,47,M
GSE56033,GSM1351167,24,M
GSE56033,GSM1351168,39,M
GSE56033,GSM1351169,28,F
GSE56033,GSM1351170,39,F
GSE56033,GSM1351171,28,F
GSE56033,GSM1351172,28,F
GSE56033,GSM1351173,26,M
GSE56033,GSM1351174,28,F
GSE56033,GSM1351175,23,M
GSE56033,GSM1351176,53,M
GSE56033,GSM1351177,48,F
GSE56033,GSM1351178,38,F
GSE56033,GSM1351179,35,M
GSE56033,GSM1351180,37,F
GSE56033,GSM1351181,51,F
GSE56033,GSM1351182,51,F
GSE56033,GSM1351183,40,M
