"GSE","GSM","age","sex"
"GSE56033","GSM1350947",50,"M"
"GSE56033","GSM1350948",19,"F"
"GSE56033","GSM1350949",27,"M"
"GSE56033","GSM1350950",27,"M"
"GSE56033","GSM1350951",27,"M"
"GSE56033","GSM1350952",35,"M"
"GSE56033","GSM1350953",35,"M"
"GSE56033","GSM1350954",29,"F"
"GSE56033","GSM1350955",20,"M"
"GSE56033","GSM1350956",19,"M"
"GSE56033","GSM1350957",18,"M"
"GSE56033","GSM1350958",41,"F"
"GSE56033","GSM1350959",49,"F"
"GSE56033","GSM1350960",49,"F"
"GSE56033","GSM1350961",49,"F"
"GSE56033","GSM1350962",49,"F"
"GSE56033","GSM1350963",41,"M"
"GSE56033","GSM1350964",20,"M"
"GSE56033","GSM1350965",30,"F"
"GSE56033","GSM1350966",20,"F"
"GSE56033","GSM1350967",20,"F"
"GSE56033","GSM1350968",21,"F"
"GSE56033","GSM1350969",19,"M"
"GSE56033","GSM1350970",24,"F"
"GSE56033","GSM1350971",19,"M"
"GSE56033","GSM1350972",19,"F"
"GSE56033","GSM1350973",28,"M"
"GSE56033","GSM1350974",21,"F"
"GSE56033","GSM1350975",23,"F"
"GSE56033","GSM1350976",19,"F"
"GSE56033","GSM1350977",20,"M"
"GSE56033","GSM1350978",19,"F"
"GSE56033","GSM1350979",19,"M"
"GSE56033","GSM1350980",19,"F"
"GSE56033","GSM1350981",19,"M"
"GSE56033","GSM1350982",23,"M"
"GSE56033","GSM1350983",19,"F"
"GSE56033","GSM1350984",19,"F"
"GSE56033","GSM1350985",19,"F"
"GSE56033","GSM1350986",28,"M"
"GSE56033","GSM1350987",27,"F"
"GSE56033","GSM1350988",25,"M"
"GSE56033","GSM1350989",19,"M"
"GSE56033","GSM1350990",26,"M"
"GSE56033","GSM1350991",24,"F"
"GSE56033","GSM1350992",24,"F"
"GSE56033","GSM1350993",18,"F"
"GSE56033","GSM1350994",19,"F"
"GSE56033","GSM1350995",26,"F"
"GSE56033","GSM1350996",23,"F"
"GSE56033","GSM1350997",25,"F"
"GSE56033","GSM1350998",19,"M"
"GSE56033","GSM1350999",18,"M"
"GSE56033","GSM1351000",20,"M"
"GSE56033","GSM1351001",21,"M"
"GSE56033","GSM1351002",25,"F"
"GSE56033","GSM1351003",19,"M"
"GSE56033","GSM1351004",28,"M"
"GSE56033","GSM1351005",21,"M"
"GSE56033","GSM1351006",19,"M"
"GSE56033","GSM1351007",32,"F"
"GSE56033","GSM1351008",32,"F"
"GSE56033","GSM1351009",32,"F"
"GSE56033","GSM1351010",21,"M"
"GSE56033","GSM1351011",20,"F"
